TweetID,Date,Hashtags,CovidRelated
282846,1255485785668816896,04/29/20,[],
282850,1255485785903697920,04/29/20,[],
282853,1255485785928843264,04/29/20,[],
282863,1255485789540139008,04/29/20,[],
282869,1255485789653303296,04/29/20,[],
282872,1255485789749870592,04/29/20,[],
282874,1255485789737287680,04/29/20,[],
282882,1255485789783408640,04/29/20,[],
282884,1255485790018298112,04/29/20,[],
282885,1255485789179437056,04/29/20,[],
282888,1255485789787521024,04/29/20,[],
282890,1255485790278299648,04/29/20,[],
282896,1255485790244699904,04/29/20,[],
282898,1255485789577699328,04/29/20,['Escorts'],No
282900,1255485790647390208,04/29/20,[],
282901,1255485790618038272,04/29/20,[],
282904,1255485790680989696,04/29/20,[],
282905,1255485790798438400,04/29/20,[],
282906,1255485790748061696,04/29/20,[],
282908,1255485793122091008,04/29/20,[],Yes
282910,1255485792509669120,04/29/20,['entreprises'],No
282911,1255485793826725888,04/29/20,[],
282914,1255485793029763072,04/29/20,[],
282918,1255485793919012864,04/29/20,[],
282919,1255485793772146688,04/29/20,[],
282924,1255485793986129920,04/29/20,[],
282925,1255485793793126400,04/29/20,[],
282928,1255485793579208704,04/29/20,[],
282929,1255485794132930304,04/29/20,[],
282930,1255485794002915328,04/29/20,[],
282935,1255485794183196672,04/29/20,[],
282943,1255485794485252096,04/29/20,[],
282945,1255485794397061120,04/29/20,[],
282953,1255485794669809664,04/29/20,[],
282955,1255485794720067584,04/29/20,[],
282960,1255485797710671872,04/29/20,[],
282966,1255485798008401920,04/29/20,[],
282967,1255485797429645056,04/29/20,['COVID19'],Yes
282968,1255485797882572800,04/29/20,"['COVID19', 'コロナウィルス', '病院', '給付金', '補助金']",Yes
282969,1255485798092324864,04/29/20,[],
282974,1255485798205530112,04/29/20,[],
282975,1255485797773586432,04/29/20,[],No
282977,1255485798180425728,04/29/20,[],
282980,1255485798092361728,04/29/20,['cmorajsthan'],No
282983,1255485798255939584,04/29/20,[],
282985,1255485798444666880,04/29/20,[],
282987,1255485798364909568,04/29/20,['Pandemic'],No
282992,1255485798557908992,04/29/20,[],
282995,1255485798532743168,04/29/20,[],
282996,1255485798738165504,04/29/20,[],
282997,1255485798511792128,04/29/20,['toptalent'],No
282999,1255485798679527424,04/29/20,[],No
283000,1255485798541115392,04/29/20,[],
283005,1255485798478118912,04/29/20,[],
283008,1255485802009841664,04/29/20,[],
283009,1255485802144051200,04/29/20,[],
283010,1255485801858838528,04/29/20,['FakePandemic'],No
283011,1255485801959489536,04/29/20,[],
283013,1255485802181808128,04/29/20,"['coronavirus', 'mentalhealth']",Yes
283015,1255485802039185408,04/29/20,[],
283016,1255485801942732800,04/29/20,[],
283017,1255485802068553728,04/29/20,[],No
283021,1255485802374627328,04/29/20,[],
283025,1255485802223734784,04/29/20,[],
283026,1255485802387308288,04/29/20,[],
283032,1255485801699385088,04/29/20,[],
283034,1255485802534055936,04/29/20,[],
283038,1255485802605395968,04/29/20,[],
283039,1255485802798362624,04/29/20,[],
283041,1255485802597007104,04/29/20,['COVID19'],Yes
283043,1255485802777317120,04/29/20,[],
283044,1255485802496261888,04/29/20,[],
283045,1255485802735456512,04/29/20,[],
283046,1255485802685095936,04/29/20,[],
283051,1255485802773204992,04/29/20,[],
283052,1255485802806730752,04/29/20,[],
283056,1255485802899005440,04/29/20,[],
283058,1255485806321585920,04/29/20,['StaySafeStayLearning'],No
283061,1255485806443212800,04/29/20,[],
283063,1255485806468268032,04/29/20,"['cleaning', 'disinfecting', 'virusfreeliving']",No
283064,1255485806426435584,04/29/20,[],
283065,1255485806136999936,04/29/20,[],
283073,1255485806900326400,04/29/20,[],
283075,1255485807017722112,04/29/20,['Corona'],Yes
283078,1255485805641989888,04/29/20,[],
283081,1255485806942224384,04/29/20,[],
283084,1255485806996869120,04/29/20,[],
283089,1255485807210659840,04/29/20,[],
283093,1255485807282008064,04/29/20,[],
283094,1255485807391014912,04/29/20,[],
283095,1255485807382736896,04/29/20,['COVID19'],Yes
283099,1255485807554633728,04/29/20,[],
283102,1255485807546249216,04/29/20,[],
283103,1255485807588187904,04/29/20,[],
283110,1255485810159374336,04/29/20,"['essay', 'assignment', 'research', 'Biology', 'Chemistry']",No
283111,1255485810008342528,04/29/20,[],
283112,1255485810473869056,04/29/20,"['MedicalDevices', 'medicaldevices', 'covid19']",No
283115,1255485810410950912,04/29/20,"['coronavirus', 'covid19', 'mhlw', 'niid', 'tokyo', 'japan', '新型コロナウイルス', '感染', 'PCR検査', 'CT検査', '検査拒否', '検査データ偽装', '補償']",Yes
283116,1255485810557804288,04/29/20,"['Sport', 'sport', 'rugbyvacancies']",No
283118,1255485810520068096,04/29/20,[],
283120,1255485810570399488,04/29/20,[],
283122,1255485810507501568,04/29/20,"['Urban', 'Biodiversity']",No
283127,1255485810809454592,04/29/20,[],
283128,1255485810557825024,04/29/20,[],
283131,1255485810784251904,04/29/20,[],
283138,1255485811006607104,04/29/20,[],
283139,1255485810872377088,04/29/20,[],
283141,1255485810721292288,04/29/20,['goalkeeper'],No
283142,1255485810327146496,04/29/20,[],
283143,1255485811182710784,04/29/20,[],
283144,1255485810725605120,04/29/20,"['COVID19', 'Plandemic', 'Lockdown', 'WHO', 'YouTube']",Yes
283146,1255485811165990912,04/29/20,['tyrant'],No
283147,1255485811321114624,04/29/20,['penceisflammable'],No
283148,1255485810922708992,04/29/20,[],
283151,1255485811371454464,04/29/20,[],
283154,1255485811593748480,04/29/20,[],
283161,1255485814894624768,04/29/20,[],
283164,1255485814944956416,04/29/20,[],
283165,1255485814789812224,04/29/20,[],
283166,1255485814773030912,04/29/20,[],
283176,1255485815045619712,04/29/20,[],
283177,1255485815133802496,04/29/20,[],
283178,1255485814710116352,04/29/20,[],No
283179,1255485814848528384,04/29/20,[],
283180,1255485815083466752,04/29/20,[],
283183,1255485814806663168,04/29/20,[],
283185,1255485815049854720,04/29/20,"['rent', 'landlord', 'landlords', 'apartmentliving', 'ReviewYourLandlordSafestan', 'coronavirus', 'COVID19']",No
283191,1255485814848577536,04/29/20,[],
283192,1255485815372857088,04/29/20,['WXII'],No
283195,1255485815368691712,04/29/20,[],
283200,1255485815477743616,04/29/20,['COVID19'],Yes
283203,1255485815804899328,04/29/20,[],
283204,1255485814957649920,04/29/20,[],
283205,1255485815242862592,04/29/20,[],
283207,1255485818824790016,04/29/20,[],
283208,1255485818283741184,04/29/20,[],
283212,1255485818870935552,04/29/20,[],
283214,1255485818057166848,04/29/20,['Freedom'],No
283216,1255485818401165056,04/29/20,[],Yes
283219,1255485818996756480,04/29/20,['Remdesivir'],No
283220,1255485819080474624,04/29/20,[],
283223,1255485818132709120,04/29/20,[],
283226,1255485819118407680,04/29/20,[],
283233,1255485819214868480,04/29/20,[],
283235,1255485818728337408,04/29/20,[],
283237,1255485819642695680,04/29/20,[],
283239,1255485818132709120,04/29/20,[],
283240,1255485819386826752,04/29/20,"['Vodafone', '5G']",No
283243,1255485819864911872,04/29/20,[],
283244,1255485819483312128,04/29/20,[],
283248,1255485819932086272,04/29/20,[],
283255,1255485820099866624,04/29/20,['plaquenil'],No
283256,1255485820070498304,04/29/20,[],
283258,1255485822968758272,04/29/20,['perguntacorona'],No
283264,1255485823283277824,04/29/20,[],
283265,1255485823090384896,04/29/20,[],
283266,1255485822050217984,04/29/20,[],
283269,1255485823291719680,04/29/20,[],
283271,1255485823287529472,04/29/20,"['coronavirus', 'COVID19']",Yes
283272,1255485823149015040,04/29/20,"['socialsolidarity', 'Fairtrade', 'justice']",No
283275,1255485823224623104,04/29/20,[],
283276,1255485823337795584,04/29/20,[],
283278,1255485823417491712,04/29/20,['TaiwanModel'],No
283280,1255485823409106944,04/29/20,['COVID19'],Yes
283281,1255485823375589120,04/29/20,[],
283283,1255485822754852864,04/29/20,[],
283288,1255485823430123520,04/29/20,[],
283289,1255485823144857600,04/29/20,[],
283291,1255485823669145600,04/29/20,[],
283293,1255485823803408384,04/29/20,[],
283294,1255485823673348096,04/29/20,[],
283295,1255485823367229440,04/29/20,[],
283298,1255485821349756928,04/29/20,['COVID19'],Yes
283300,1255485823841185792,04/29/20,[],
283305,1255485823765688320,04/29/20,[],
283311,1255485827225989120,04/29/20,[],
283312,1255485827221803008,04/29/20,[],
283316,1255485827251142912,04/29/20,[],
283317,1255485826806530048,04/29/20,[],
283319,1255485827276328704,04/29/20,[],
283320,1255485827230191616,04/29/20,['MadeInBrooklyn'],No
283322,1255485827540488192,04/29/20,[],
283326,1255485827544756224,04/29/20,[],
283332,1255485827637030912,04/29/20,[],
283334,1255485827582496768,04/29/20,[],
283339,1255485827553124352,04/29/20,[],
283340,1255485827532161024,04/29/20,[],
283343,1255485827418853120,04/29/20,[],
283347,1255485827565617152,04/29/20,[],
283348,1255485827842551808,04/29/20,['PaulKagame'],No
283350,1255485828232622080,04/29/20,[],
283352,1255485828182179840,04/29/20,[],
283353,1255485828404559872,04/29/20,[],
283356,1255485828459114496,04/29/20,[],
283359,1255485831306936320,04/29/20,[],
283365,1255485830916763648,04/29/20,[],
283369,1255485831533465600,04/29/20,[],
283370,1255485831546101504,04/29/20,[],
283372,1255485831546114048,04/29/20,[],
283373,1255485831638323200,04/29/20,[],
283377,1255485831852195840,04/29/20,[],
283379,1255485831353155584,04/29/20,[],
283383,1255485831290261504,04/29/20,[],
283385,1255485831810298112,04/29/20,[],
283387,1255485831764197120,04/29/20,[],
283389,1255485832032468992,04/29/20,[],
283392,1255485831864881152,04/29/20,['corona'],Yes
283395,1255485832116474112,04/29/20,"['Covid19', 'JoeHILLARY2020']",Yes
283397,1255485831986495488,04/29/20,[],
283399,1255485832275865600,04/29/20,[],
283402,1255485831973871616,04/29/20,[],
283405,1255485832103895040,04/29/20,[],
283406,1255485831856427008,04/29/20,[],
283411,1255485835388035072,04/29/20,[],
283420,1255485835824246784,04/29/20,[],
283421,1255485835803328512,04/29/20,[],
283424,1255485835753009152,04/29/20,[],
283430,1255485835832700928,04/29/20,[],
283433,1255485836105261056,04/29/20,[],
